respondent_id,BFI_E1,BFI_E2,BFI_E3,BFI_E4,BFI_E5,BFI_E6,BFI_E7,BFI_E8,BFI_E9,BFI_E10,BFI_A1,BFI_A2,BFI_A3,BFI_A4,BFI_A5,BFI_A6,BFI_A7,BFI_A8,BFI_A9,BFI_A10,BFI_C1,BFI_C2,BFI_C3,BFI_C4,BFI_C5,BFI_C6,BFI_C7,BFI_C8,BFI_C9,BFI_C10,BFI_N1,BFI_N2,BFI_N3,BFI_N4,BFI_N5,BFI_N6,BFI_N7,BFI_N8,BFI_N9,BFI_N10,BFI_O1,BFI_O2,BFI_O3,BFI_O4,BFI_O5,BFI_O6,BFI_O7,BFI_O8,BFI_O9,BFI_O10,age,gender
1,3.0,,2.0,1.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,0.0,3.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,0.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,39,Man
2,3.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,0.0,4.0,1.0,3.0,0.0,3.0,1.0,1.0,0.0,,2.0,1.0,4.0,2.0,2.0,0.0,3.0,2.0,2.0,3.0,1.0,4.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,0.0,2.0,1.0,3.0,2.0,3.0,0.0,1.0,0.0,1.0,45,Kvinna
3,3.0,2.0,3.0,0.0,2.0,1.0,3.0,3.0,2.0,2.0,0.0,3.0,0.0,4.0,1.0,4.0,1.0,4.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,0.0,1.0,1.0,46,Man
4,3.0,1.0,3.0,,4.0,1.0,3.0,0.0,4.0,2.0,3.0,2.0,4.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0,1.0,2.0,0.0,3.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,4.0,1.0,0.0,1.0,2.0,2.0,1.0,4.0,0.0,2.0,0.0,3.0,0.0,3.0,4.0,4.0,3.0,33,Man
5,4.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,0.0,0.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,2.0,3.0,,2.0,3.0,0.0,4.0,0.0,4.0,0.0,4.0,1.0,0.0,0.0,1.0,18,Kvinna
6,1.0,3.0,2.0,2.0,0.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,0.0,2.0,4.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,0.0,4.0,0.0,3.0,1.0,2.0,0.0,0.0,1.0,1.0,4.0,1.0,3.0,2.0,2.0,1.0,3.0,3.0,1.0,3.0,63,Kvinna
7,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,,2.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,3.0,3.0,4.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,4.0,3.0,2.0,0.0,3.0,1.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,46,Kvinna
8,2.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,4.0,3.0,2.0,4.0,2.0,2.0,4.0,1.0,4.0,0.0,4.0,1.0,4.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,34,Kvinna
9,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,4.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,4.0,2.0,4.0,0.0,1.0,2.0,4.0,2.0,3.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,46,Kvinna
10,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,2.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,4.0,2.0,4.0,2.0,3.0,2.0,3.0,2.0,0.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,4.0,2.0,,2.0,0.0,2.0,3.0,4.0,2.0,2.0,46,Annat
11,2.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,2.0,1.0,3.0,0.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,60,Man
12,0.0,4.0,1.0,3.0,1.0,2.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0,1.0,3.0,,2.0,2.0,3.0,4.0,2.0,3.0,1.0,3.0,2.0,4.0,1.0,2.0,0.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,3.0,44,Man
13,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,0.0,2.0,2.0,3.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,3.0,0.0,3.0,3.0,3.0,0.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,4.0,0.0,1.0,2.0,1.0,4.0,3.0,4.0,31,Kvinna
14,3.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,1.0,3.0,1.0,3.0,2.0,2.0,3.0,4.0,4.0,20,Man
15,3.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,0.0,2.0,4.0,0.0,4.0,1.0,2.0,0.0,3.0,0.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,0.0,2.0,2.0,41,Man
16,4.0,1.0,4.0,2.0,2.0,0.0,4.0,1.0,4.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,3.0,1.0,2.0,2.0,2.0,0.0,4.0,1.0,4.0,1.0,3.0,3.0,1.0,3.0,2.0,1.0,3.0,1.0,2.0,0.0,1.0,4.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,39,Kvinna
17,3.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,4.0,3.0,3.0,2.0,4.0,0.0,3.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,3.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,0.0,1.0,4.0,1.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,33,Kvinna
